"DateTime";"Players";"Average Players";"Flags"
"2021-06-11 00:00:00";6672;;
"2021-06-12 00:00:00";14699;;
"2021-06-13 00:00:00";15774;;
"2021-06-14 00:00:00";10997;;
"2021-06-15 00:00:00";8282;;
"2021-06-16 00:00:00";5644;;
"2021-06-17 00:00:00";3673;;
"2021-06-18 00:00:00";;;
"2021-06-19 00:00:00";;;
"2021-06-20 00:00:00";;;
"2021-06-21 00:00:00";;;
"2021-06-22 00:00:00";;;
"2021-06-23 00:00:00";;;
"2021-06-24 00:00:00";;;
"2021-06-25 00:00:00";;;
"2021-06-26 00:00:00";;;
"2021-06-27 00:00:00";;;
"2021-06-28 00:00:00";;;
"2021-06-29 00:00:00";;;
"2021-06-30 00:00:00";;;
"2021-07-01 00:00:00";;;
"2021-07-02 00:00:00";;;
"2021-07-03 00:00:00";;;
"2021-07-04 00:00:00";;;
"2021-07-05 00:00:00";;;
"2021-07-06 00:00:00";;;
"2021-07-07 00:00:00";;;
"2021-07-08 00:00:00";;;
"2021-07-09 00:00:00";;;
"2021-07-10 00:00:00";;;
"2021-07-11 00:00:00";;;
"2021-07-12 00:00:00";;;
"2021-07-13 00:00:00";;;
"2021-07-14 00:00:00";;;
"2021-07-15 00:00:00";;;
"2021-07-16 00:00:00";;;
"2021-07-17 00:00:00";;;
"2021-07-18 00:00:00";;;
"2021-07-19 00:00:00";;;
"2021-07-20 00:00:00";;;
"2021-07-21 00:00:00";;;
"2021-07-22 00:00:00";;;
"2021-07-23 00:00:00";;;
"2021-07-24 00:00:00";;;
"2021-07-25 00:00:00";;;
"2021-07-26 00:00:00";;;
"2021-07-27 00:00:00";;;
"2021-07-28 00:00:00";;;
"2021-07-29 00:00:00";;;
"2021-07-30 00:00:00";;;
"2021-07-31 00:00:00";;;
"2021-08-01 00:00:00";;;
"2021-08-02 00:00:00";;;
"2021-08-03 00:00:00";;;
"2021-08-04 00:00:00";;;
"2021-08-05 00:00:00";;;
"2021-08-06 00:00:00";;;
"2021-08-07 00:00:00";;;
"2021-08-08 00:00:00";;;
"2021-08-09 00:00:00";;;
"2021-08-10 00:00:00";;;
"2021-08-11 00:00:00";;;
"2021-08-12 00:00:00";;;
"2021-08-13 00:00:00";;;
"2021-08-14 00:00:00";;;
"2021-08-15 00:00:00";;;
"2021-08-16 00:00:00";;;
"2021-08-17 00:00:00";;;
"2021-08-18 00:00:00";;;
"2021-08-19 00:00:00";;;
"2021-08-20 00:00:00";;;
"2021-08-21 00:00:00";;;
"2021-08-22 00:00:00";;;
"2021-08-23 00:00:00";;;
"2021-08-24 00:00:00";;;
"2021-08-25 00:00:00";;;
"2021-08-26 00:00:00";;;
"2021-08-27 00:00:00";;;
"2021-08-28 00:00:00";;;
"2021-08-29 00:00:00";;;
"2021-08-30 00:00:00";;;
"2021-08-31 00:00:00";;;
"2021-09-01 00:00:00";;;
"2021-09-02 00:00:00";;;
"2021-09-03 00:00:00";;;
"2021-09-04 00:00:00";;;
"2021-09-05 00:00:00";;;
"2021-09-06 00:00:00";;;
"2021-09-07 00:00:00";;;
"2021-09-08 00:00:00";;;
"2021-09-09 00:00:00";;;
"2021-09-10 00:00:00";;;
"2021-09-11 00:00:00";;;
"2021-09-12 00:00:00";;;
"2021-09-13 00:00:00";;;
"2021-09-14 00:00:00";;;
"2021-09-15 00:00:00";;;
"2021-09-16 00:00:00";;;
"2021-09-17 00:00:00";;;
"2021-09-18 00:00:00";;;
"2021-09-19 00:00:00";;;
"2021-09-20 00:00:00";;;
"2021-09-21 00:00:00";;;
"2021-09-22 00:00:00";;;
"2021-09-23 00:00:00";;;
"2021-09-24 00:00:00";;;
"2021-09-25 00:00:00";;;
"2021-09-26 00:00:00";;;
"2021-09-27 00:00:00";;;
"2021-09-28 00:00:00";;;
"2021-09-29 00:00:00";;;
"2021-09-30 00:00:00";;;
"2021-10-01 00:00:00";;;
"2021-10-02 00:00:00";;;
"2021-10-03 00:00:00";;;
"2021-10-04 00:00:00";;;
"2021-10-05 00:00:00";;;
"2021-10-06 00:00:00";;;
"2021-10-07 00:00:00";;;
"2021-10-08 00:00:00";;;
"2021-10-09 00:00:00";;;
"2021-10-10 00:00:00";;;
"2021-10-11 00:00:00";;;
"2021-10-12 00:00:00";;;
"2021-10-13 00:00:00";;;
"2021-10-14 00:00:00";;;
"2021-10-15 00:00:00";;;
"2021-10-16 00:00:00";;;
"2021-10-17 00:00:00";;;
"2021-10-18 00:00:00";;;
"2021-10-19 00:00:00";;;
"2021-10-20 00:00:00";;;
"2021-10-21 00:00:00";;;
"2021-10-22 00:00:00";;;
"2021-10-23 00:00:00";;;
"2021-10-24 00:00:00";;;
"2021-10-25 00:00:00";;;
"2021-10-26 00:00:00";;;
"2021-10-27 00:00:00";;;
"2021-10-28 00:00:00";;;
"2021-10-29 00:00:00";;;
"2021-10-30 00:00:00";;;
"2021-10-31 00:00:00";;;
"2021-11-01 00:00:00";;;
"2021-11-02 00:00:00";;;
